Timestamp,From Bank,Account,To Bank,Account_4,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
9/1/2022 0:14:00,1,8008093B0,1,8008093B0,3480926.29,US Dollar,3480926.29,US Dollar,Reinvestment,0
9/1/2022 0:01:00,1,802921370,1,802921370,13743.28,US Dollar,13743.28,US Dollar,Reinvestment,0
9/1/2022 9:18:00,1,800DB4EF0,1,800DB4EF0,19.61,US Dollar,19.61,US Dollar,Reinvestment,0
9/1/2022 17:57:00,1,80D2D6E70,1,80D2D6E70,7.92,US Dollar,7.92,US Dollar,Reinvestment,0
9/6/2022 4:10:00,1,8003080E0,1,800580F30,16.76,US Dollar,16.76,US Dollar,Credit Card,0
9/7/2022 10:52:00,1,80005C0A0,1,8002552F0,174.6,US Dollar,174.6,US Dollar,Credit Card,0
9/8/2022 9:33:00,1,800456020,1,8023DBC00,787.57,US Dollar,787.57,US Dollar,Credit Card,0
9/1/2022 0:26:00,1,8006F01C0,1,8006F01C0,384.52,US Dollar,384.52,US Dollar,Reinvestment,0
9/1/2022 0:01:00,1,813837720,1,813837720,55241.41,US Dollar,55241.41,US Dollar,Reinvestment,0
9/1/2022 17:17:00,1,8010B63F0,1,801F328B0,534.36,US Dollar,534.36,US Dollar,Cheque,0
9/6/2022 10:20:00,1,80024F4A0,1,800327650,15963.95,US Dollar,15963.95,US Dollar,Credit Card,0
9/1/2022 0:10:00,1,802343330,1,802343330,6.67,US Dollar,6.67,US Dollar,Reinvestment,0
9/1/2022 0:11:00,1,8051C1590,1,8051C1590,955.45,US Dollar,955.45,US Dollar,Reinvestment,0
9/1/2022 0:13:00,1,80AEDAE40,1,80AEDAE40,74946.49,US Dollar,74946.49,US Dollar,Reinvestment,0
9/1/2022 1:41:00,1,800300E30,1,800300E30,1000.61,Euro,1172.5,US Dollar,ACH,0
9/1/2022 3:08:00,1,802876820,1,802876820,16.1,US Dollar,16.1,US Dollar,Reinvestment,0
9/1/2022 5:55:00,1,805F94180,1,805F94180,389.07,US Dollar,389.07,US Dollar,Reinvestment,0
9/1/2022 9:51:00,1,8003DE9F0,1,8003DE9F0,105378.75,US Dollar,105378.75,US Dollar,Reinvestment,0
9/1/2022 11:45:00,1,800413A20,1,800413A20,16.35,US Dollar,16.35,US Dollar,Reinvestment,0
9/2/2022 9:56:00,1,8004818C0,1,800942830,1630.29,US Dollar,1630.29,US Dollar,Cheque,0
9/4/2022 23:05:00,1,80117B5B0,1,802C6C440,90.41,US Dollar,90.41,US Dollar,Credit Card,0
9/5/2022 2:05:00,1,8005D92A0,1,800791830,59.42,US Dollar,59.42,US Dollar,Cheque,0
9/6/2022 23:29:00,1,800C1CAB0,1,800D0FD30,1443.54,US Dollar,1443.54,US Dollar,Credit Card,0
9/7/2022 2:53:00,1,8001F95B0,1,800BC2850,2349.22,US Dollar,2349.22,US Dollar,Cheque,0
9/8/2022 15:55:00,1,8001093C0,1,800789C50,36.07,US Dollar,36.07,US Dollar,Wire,0
9/1/2022 8:32:00,1,8016586F0,1,8016586F0,23.73,US Dollar,23.73,US Dollar,Reinvestment,0
9/2/2022 7:36:00,1,80005C790,1,80005C790,30.42,US Dollar,30.42,US Dollar,Cheque,0
9/4/2022 23:47:00,1,80005B9B0,1,80005B9B0,144.04,Euro,168.78,US Dollar,ACH,0
9/6/2022 7:26:00,1,8003D23C0,1,800779280,110.46,US Dollar,110.46,US Dollar,Cheque,0
9/9/2022 23:19:00,1,8000F4D20,1,8001EA4A0,2355.45,US Dollar,2355.45,US Dollar,Cheque,0
9/1/2022 0:01:00,1,8001C9040,1,8001C9040,162224,US Dollar,162224,US Dollar,Reinvestment,0
9/1/2022 0:24:00,1,801A9BA10,1,801A9BA10,10195.59,US Dollar,10195.59,US Dollar,Reinvestment,0
9/1/2022 0:28:00,1,80F298F10,1,80F298F10,1107.87,US Dollar,1107.87,US Dollar,Reinvestment,0
9/1/2022 7:35:00,1,80A6B4870,1,80A6B4870,9.82,US Dollar,9.82,US Dollar,Reinvestment,0
9/1/2022 22:46:00,1,80024DDD0,1,80024DDD0,37855.83,US Dollar,37855.83,US Dollar,Reinvestment,0
9/3/2022 16:30:00,1,8006DF4C0,1,8006DF4C0,16036.54,Yuan,2394.37,US Dollar,ACH,0
9/5/2022 11:24:00,1,8003D23C0,1,800779280,12.27,US Dollar,12.27,US Dollar,Wire,0
9/5/2022 14:08:00,1,800A65BB0,1,812806030,1296.71,US Dollar,1296.71,US Dollar,Cheque,0
9/8/2022 1:13:00,1,8001495E0,1,8001495E0,289,Euro,338.65,US Dollar,ACH,0
9/1/2022 0:21:00,1,8003B02B0,1,8003B02B0,1123.89,US Dollar,1123.89,US Dollar,Reinvestment,0
9/1/2022 0:07:00,1,800A8D870,1,800A8D870,14.95,US Dollar,14.95,US Dollar,Reinvestment,0
9/1/2022 0:25:00,1,800D6F2C0,1,800D6F2C0,25482.16,US Dollar,25482.16,US Dollar,Reinvestment,0
9/8/2022 19:29:00,1,8010B63F0,1,801F328B0,534.36,US Dollar,534.36,US Dollar,Cheque,0
9/1/2022 6:41:00,1,800394050,1,800394050,2357.44,Canadian Dollar,1786.89,US Dollar,ACH,0
9/1/2022 7:47:00,1,80033E1F0,1,803E49B70,6031.32,US Dollar,6031.32,US Dollar,Cheque,0
9/1/2022 17:54:00,1,80369FEB0,1,80369FEB0,21872.58,Euro,25629.93,US Dollar,ACH,0
9/2/2022 12:00:00,1,800D4AE60,1,800D4AE60,128.05,Swiss Franc,139.95,US Dollar,ACH,0
9/2/2022 23:52:00,1,8002183B0,1,8002B62D0,358.14,US Dollar,358.14,US Dollar,Cheque,0
9/3/2022 13:53:00,1,80011E2A0,1,8021D9B20,63.08,US Dollar,63.08,US Dollar,Cheque,0
9/7/2022 1:52:00,1,800422520,1,8023450E0,1606.06,US Dollar,1606.06,US Dollar,Cheque,0
9/8/2022 1:13:00,1,800BB2240,1,800BB2240,3739864625,Yen,35482586.57,US Dollar,ACH,0
9/8/2022 7:58:00,1,800057020,1,80018BA80,2296.32,US Dollar,2296.32,US Dollar,ACH,0
9/9/2022 4:25:00,1,8001580D0,1,8001580D0,334.44,Euro,391.9,US Dollar,ACH,0
9/9/2022 11:38:00,1,8000EDEC0,1,8001A4F40,890.42,US Dollar,890.42,US Dollar,Credit Card,0
9/9/2022 19:46:00,1,80248EF40,1,80357BA30,3690.57,US Dollar,3690.57,US Dollar,Cheque,0
9/1/2022 0:18:00,1,800189670,1,800189670,46445.36,US Dollar,46445.36,US Dollar,Reinvestment,0
9/1/2022 5:32:00,1,8000F4D20,1,8006B92E0,389.72,US Dollar,389.72,US Dollar,Credit Card,0
9/1/2022 6:11:00,1,8000F49E0,1,804237A50,3410.89,US Dollar,3410.89,US Dollar,Cheque,0
9/5/2022 3:43:00,1,8023438C0,1,8023438C0,1673041.14,Ruble,21503.28,US Dollar,ACH,0
9/6/2022 22:10:00,1,80005C3D0,1,80005C3D0,612881.33,US Dollar,612881.33,US Dollar,Cheque,0
9/7/2022 23:20:00,1,8013733E0,1,8013733E0,8923237.62,Yen,84660.7,US Dollar,ACH,0
9/9/2022 11:47:00,1,800320950,1,801FE9E50,248.59,US Dollar,248.59,US Dollar,Credit Card,0
9/10/2022 7:39:00,1,80005C790,1,8000F1870,8921.69,US Dollar,8921.69,US Dollar,Wire,0
9/10/2022 21:40:00,1,80056F970,1,800942830,9173.46,US Dollar,9173.46,US Dollar,Cheque,0
