Anomaly Rank,Timestamp,Account,Account_4,From Bank,To Bank,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Currency Mismatch,Anomaly Score,Risk Tier,Is Laundering
1,2022-09-03 00:04:00,801227860,806ABFC50,1,4,4016070742.0,Ruble,4016070742.0,Ruble,Cheque,0,0.6870384261648723,Critical,0
2,2022-09-09 01:41:00,8023438C0,8060B3330,1,9,1673041.14,Ruble,1673041.14,Ruble,Credit Card,0,0.6827269066207349,Critical,0
3,2022-09-03 00:12:00,801227860,806ABFC50,1,4,2981124303.0,Ruble,2981124303.0,Ruble,ACH,0,0.6825616542704989,Critical,0
4,2022-09-05 14:08:00,801227860,806ABFC50,1,4,4016070742.0,Ruble,4016070742.0,Ruble,Cheque,0,0.6821570987242432,Critical,0
5,2022-09-06 07:13:00,801227860,806ABFC50,1,4,92760199.31,Ruble,92760199.31,Ruble,Credit Card,0,0.6769084392679601,Critical,0
6,2022-09-01 23:24:00,802921AF0,809F44000,1,8,29.6,Canadian Dollar,29.6,Canadian Dollar,ACH,0,0.6721337396794544,Critical,0
7,2022-09-02 18:23:00,8006AF880,806294390,1,4,2146543.72,Ruble,2146543.72,Ruble,Cash,0,0.6719630097980605,Critical,0
8,2022-09-06 21:12:00,802921AF0,809F44000,1,8,29.6,Canadian Dollar,29.6,Canadian Dollar,ACH,0,0.6706323236319791,Critical,0
9,2022-09-06 12:08:00,8006AF880,806294390,1,4,2146543.72,Ruble,2146543.72,Ruble,Cash,0,0.6684999321293911,Critical,0
10,2022-09-04 13:02:00,8023438C0,8060B3330,1,9,741230.51,Ruble,741230.51,Ruble,Cheque,0,0.6677575913334737,Critical,0
11,2022-09-10 09:36:00,8023438C0,8060B3330,1,9,741230.51,Ruble,741230.51,Ruble,Cheque,0,0.6579311076325864,High,0
12,2022-09-03 08:00:00,8023438C0,8060B3330,1,9,741230.51,Ruble,741230.51,Ruble,Cheque,0,0.6576821236878261,High,0
13,2022-09-06 12:19:00,8006AF880,806294390,1,4,651575.57,Ruble,651575.57,Ruble,Cheque,0,0.6548578647457225,High,0
14,2022-09-05 04:07:00,800B0E670,800B0E670,1,1,1833519158.0,Yen,17395817.44,US Dollar,ACH,1,0.5852600841460338,High,0
15,2022-09-03 23:06:00,800B0E670,800B0E670,1,1,1833519158.0,Yen,17395817.44,US Dollar,ACH,1,0.5821493186284372,High,0
16,2022-09-08 01:13:00,800BB2240,800BB2240,1,1,3739864625.0,Yen,35482586.57,US Dollar,ACH,1,0.5820868792600882,High,0
17,2022-09-04 21:50:00,801754760,801754760,1,1,297392721.7,Ruble,3822332.03,US Dollar,ACH,1,0.5795461471450105,High,0
18,2022-09-01 22:15:00,801227860,801227860,1,1,2981124303.0,Ruble,38315823.13,US Dollar,ACH,1,0.5775421226922204,High,0
19,2022-09-05 07:18:00,80005AB30,800155D50,1,10,25.19,US Dollar,25.19,US Dollar,Cash,0,0.5586229741123364,High,0
20,2022-09-02 00:35:00,80140FA20,80140FA20,1,1,69712995.7,Yen,661413.62,US Dollar,ACH,1,0.5574898951503213,High,0
21,2022-09-10 00:19:00,803326CB0,803326CB0,1,1,3508736.65,Rupee,47774.31,US Dollar,ACH,1,0.5497413554581281,High,0
22,2022-09-06 13:05:00,8000F6B10,8002179C0,1,10,4.74,US Dollar,4.74,US Dollar,Wire,0,0.5490930564978056,High,0
23,2022-09-07 23:20:00,8013733E0,8013733E0,1,1,8923237.62,Yen,84660.7,US Dollar,ACH,1,0.5447560948827685,High,0
24,2022-09-07 20:41:00,8001547E0,8001742E0,1,10,22.03,US Dollar,22.03,US Dollar,Cash,0,0.544516976666208,High,0
25,2022-09-02 00:43:00,8002FDA90,800D264D0,1,10,1732891.0,US Dollar,1732891.0,US Dollar,Cheque,0,0.5434772633191051,High,0
