Timestamp,From Bank,Account,To Bank,Account_4,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,Amount Difference,Absolute Difference,Hour,Day,Day of Week,Cross-bank,Currency Mismatch,Anomaly Score,Anomaly Rank,Risk Tier
2022-09-01 00:14:00,1,8008093B0,1,8008093B0,3480926.29,US Dollar,3480926.29,US Dollar,Reinvestment,0,0.0,0.0,0,Thursday,3,0,0,0.4188537226311476,218,Low
2022-09-01 00:01:00,1,802921370,1,802921370,13743.28,US Dollar,13743.28,US Dollar,Reinvestment,0,0.0,0.0,0,Thursday,3,0,0,0.37390291852741764,498,Low
2022-09-01 09:18:00,1,800DB4EF0,1,800DB4EF0,19.61,US Dollar,19.61,US Dollar,Reinvestment,0,0.0,0.0,9,Thursday,3,0,0,0.3778926211336923,457,Low
2022-09-01 17:57:00,1,80D2D6E70,1,80D2D6E70,7.92,US Dollar,7.92,US Dollar,Reinvestment,0,0.0,0.0,17,Thursday,3,0,0,0.40444454800613644,276,Low
2022-09-06 04:10:00,1,8003080E0,1,800580F30,16.76,US Dollar,16.76,US Dollar,Credit Card,0,0.0,0.0,4,Tuesday,1,0,0,0.43441764713449016,197,Low
2022-09-07 10:52:00,1,80005C0A0,1,8002552F0,174.6,US Dollar,174.6,US Dollar,Credit Card,0,0.0,0.0,10,Wednesday,2,0,0,0.3918819570654235,357,Low
2022-09-08 09:33:00,1,800456020,1,8023DBC00,787.57,US Dollar,787.57,US Dollar,Credit Card,0,0.0,0.0,9,Thursday,3,0,0,0.3802599106949992,436,Low
2022-09-01 00:26:00,1,8006F01C0,1,8006F01C0,384.52,US Dollar,384.52,US Dollar,Reinvestment,0,0.0,0.0,0,Thursday,3,0,0,0.3787589813573503,447,Low
2022-09-01 00:01:00,1,813837720,1,813837720,55241.41,US Dollar,55241.41,US Dollar,Reinvestment,0,0.0,0.0,0,Thursday,3,0,0,0.3761025190335887,474,Low
2022-09-01 17:17:00,1,8010B63F0,1,801F328B0,534.36,US Dollar,534.36,US Dollar,Cheque,0,0.0,0.0,17,Thursday,3,0,0,0.3884762248388767,377,Low
2022-09-06 10:20:00,1,80024F4A0,1,800327650,15963.95,US Dollar,15963.95,US Dollar,Credit Card,0,0.0,0.0,10,Tuesday,1,0,0,0.40890497675684806,252,Low
2022-09-01 00:10:00,1,802343330,1,802343330,6.67,US Dollar,6.67,US Dollar,Reinvestment,0,0.0,0.0,0,Thursday,3,0,0,0.3942990655748609,341,Low
2022-09-01 00:11:00,1,8051C1590,1,8051C1590,955.45,US Dollar,955.45,US Dollar,Reinvestment,0,0.0,0.0,0,Thursday,3,0,0,0.37432953324520557,494,Low
2022-09-01 00:13:00,1,80AEDAE40,1,80AEDAE40,74946.49,US Dollar,74946.49,US Dollar,Reinvestment,0,0.0,0.0,0,Thursday,3,0,0,0.3780504533736921,454,Low
2022-09-01 01:41:00,1,800300E30,1,800300E30,1000.61,Euro,1172.5,US Dollar,ACH,0,-171.89,171.89,1,Thursday,3,0,1,0.4437934193580252,176,Low
2022-09-01 03:08:00,1,802876820,1,802876820,16.1,US Dollar,16.1,US Dollar,Reinvestment,0,0.0,0.0,3,Thursday,3,0,0,0.37780022053807044,459,Low
2022-09-01 05:55:00,1,805F94180,1,805F94180,389.07,US Dollar,389.07,US Dollar,Reinvestment,0,0.0,0.0,5,Thursday,3,0,0,0.3818227168439826,424,Low
2022-09-01 09:51:00,1,8003DE9F0,1,8003DE9F0,105378.75,US Dollar,105378.75,US Dollar,Reinvestment,0,0.0,0.0,9,Thursday,3,0,0,0.3920923832987254,354,Low
2022-09-01 11:45:00,1,800413A20,1,800413A20,16.35,US Dollar,16.35,US Dollar,Reinvestment,0,0.0,0.0,11,Thursday,3,0,0,0.3796086131119738,444,Low
2022-09-02 09:56:00,1,8004818C0,1,800942830,1630.29,US Dollar,1630.29,US Dollar,Cheque,0,0.0,0.0,9,Friday,4,0,0,0.38179368150298537,425,Low
2022-09-04 23:05:00,1,80117B5B0,1,802C6C440,90.41,US Dollar,90.41,US Dollar,Credit Card,0,0.0,0.0,23,Sunday,6,0,0,0.4505332876009285,156,Low
2022-09-05 02:05:00,1,8005D92A0,1,800791830,59.42,US Dollar,59.42,US Dollar,Cheque,0,0.0,0.0,2,Monday,0,0,0,0.4299868876815445,201,Low
2022-09-06 23:29:00,1,800C1CAB0,1,800D0FD30,1443.54,US Dollar,1443.54,US Dollar,Credit Card,0,0.0,0.0,23,Tuesday,1,0,0,0.4225371356423141,209,Low
2022-09-07 02:53:00,1,8001F95B0,1,800BC2850,2349.22,US Dollar,2349.22,US Dollar,Cheque,0,0.0,0.0,2,Wednesday,2,0,0,0.3936361758607512,345,Low
2022-09-08 15:55:00,1,8001093C0,1,800789C50,36.07,US Dollar,36.07,US Dollar,Wire,0,0.0,0.0,15,Thursday,3,0,0,0.43973056029240803,182,Low
2022-09-01 08:32:00,1,8016586F0,1,8016586F0,23.73,US Dollar,23.73,US Dollar,Reinvestment,0,0.0,0.0,8,Thursday,3,0,0,0.3796873784174613,442,Low
2022-09-02 07:36:00,1,80005C790,1,80005C790,30.42,US Dollar,30.42,US Dollar,Cheque,0,0.0,0.0,7,Friday,4,0,0,0.4084954989266377,256,Low
2022-09-04 23:47:00,1,80005B9B0,1,80005B9B0,144.04,Euro,168.78,US Dollar,ACH,0,-24.74000000000001,24.74000000000001,23,Sunday,6,0,1,0.48079317342589145,101,Low
2022-09-06 07:26:00,1,8003D23C0,1,800779280,110.46,US Dollar,110.46,US Dollar,Cheque,0,0.0,0.0,7,Tuesday,1,0,0,0.40904102561764477,251,Low
2022-09-09 23:19:00,1,8000F4D20,1,8001EA4A0,2355.45,US Dollar,2355.45,US Dollar,Cheque,0,0.0,0.0,23,Friday,4,0,0,0.40850773921185124,255,Low
2022-09-01 00:01:00,1,8001C9040,1,8001C9040,162224.0,US Dollar,162224.0,US Dollar,Reinvestment,0,0.0,0.0,0,Thursday,3,0,0,0.3855412920399903,398,Low
2022-09-01 00:24:00,1,801A9BA10,1,801A9BA10,10195.59,US Dollar,10195.59,US Dollar,Reinvestment,0,0.0,0.0,0,Thursday,3,0,0,0.3754080565258022,480,Low
